epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,22.2525,4.05842,3.79537,3.9137,0.87719,0.02941,0.03728,0.00917,3.40714,3.77136,3.65515,0.000332581,0.000332581,0.000332581
2,44.1324,3.06437,2.8946,3.12652,0.69441,0.21332,0.1784,0.05907,2.97173,3.00639,3.09984,0.000659322,0.000659322,0.000659322
3,64.2377,2.64094,2.52807,2.68902,0.48204,0.32199,0.22295,0.08114,2.47536,2.97534,2.71209,0.000979462,0.000979462,0.000979462
4,84.2367,2.38612,2.36606,2.47924,0.72023,0.22904,0.27353,0.10181,2.52305,2.53811,2.65766,0.0009703,0.0009703,0.0009703
5,104.768,2.2308,2.17834,2.31884,0.26026,0.46877,0.41664,0.15338,2.20236,2.51695,2.44814,0.0009604,0.0009604,0.0009604
6,124.295,2.16309,2.0839,2.23624,0.42241,0.64093,0.52208,0.17403,2.29585,2.74276,2.42549,0.0009505,0.0009505,0.0009505
7,144.28,2.08891,2.00587,2.15721,0.54098,0.3765,0.43088,0.18632,2.18592,2.66717,2.37054,0.0009406,0.0009406,0.0009406
8,165.11,2.05246,1.9797,2.11153,0.77293,0.44928,0.54544,0.24557,1.95119,2.09119,2.16844,0.0009307,0.0009307,0.0009307
9,186.645,2.01698,1.93555,2.08203,0.61558,0.55785,0.54629,0.2545,1.93985,1.96018,2.15026,0.0009208,0.0009208,0.0009208
10,211.545,1.94312,1.84743,2.01219,0.67768,0.48426,0.44757,0.2099,2.00288,2.10094,2.27364,0.0009109,0.0009109,0.0009109
11,232.101,1.94151,1.84421,2.00595,0.73008,0.41836,0.43891,0.23216,2.07866,2.44821,2.30924,0.000901,0.000901,0.000901
12,251.564,1.89327,1.81635,1.97514,0.61223,0.59774,0.55127,0.24702,2.00519,2.51175,2.19522,0.0008911,0.0008911,0.0008911
13,271.68,1.86367,1.785,1.9531,0.5203,0.60721,0.5604,0.27005,1.8577,2.1577,2.14066,0.0008812,0.0008812,0.0008812
14,291.32,1.83318,1.74715,1.92552,0.69949,0.55132,0.5894,0.27082,1.85354,2.26895,2.08295,0.0008713,0.0008713,0.0008713
15,311.214,1.83259,1.72257,1.89892,0.67297,0.58281,0.66634,0.35977,1.71535,1.78234,1.95288,0.0008614,0.0008614,0.0008614
16,331.917,1.82399,1.70664,1.88891,0.44977,0.64812,0.64161,0.30773,1.90692,1.8139,2.05898,0.0008515,0.0008515,0.0008515
17,352.171,1.79221,1.6783,1.87105,0.61853,0.60706,0.59406,0.30365,1.76466,1.75134,2.14265,0.0008416,0.0008416,0.0008416
18,372.572,1.79936,1.68202,1.88932,0.78764,0.57316,0.67173,0.37093,1.73908,1.66759,2.00027,0.0008317,0.0008317,0.0008317
19,392.421,1.76618,1.65836,1.86435,0.66518,0.68113,0.71902,0.34555,1.78263,1.5929,1.95811,0.0008218,0.0008218,0.0008218
20,413.426,1.7947,1.66,1.87094,0.56365,0.67927,0.64254,0.35563,1.70391,1.71338,1.95821,0.0008119,0.0008119,0.0008119
21,434.241,1.75159,1.6132,1.82469,0.86036,0.51455,0.68903,0.35696,1.80602,1.68843,2.00794,0.000802,0.000802,0.000802
22,455.852,1.74115,1.61313,1.81757,0.65378,0.54288,0.69208,0.38018,1.64488,1.74638,1.90488,0.0007921,0.0007921,0.0007921
23,476.314,1.71767,1.57612,1.81202,0.81713,0.54042,0.74227,0.4297,1.63559,1.59059,1.91191,0.0007822,0.0007822,0.0007822
24,497.215,1.72732,1.59926,1.80265,0.87415,0.56688,0.70112,0.36618,1.68062,1.58924,1.90842,0.0007723,0.0007723,0.0007723
25,519.102,1.70685,1.57799,1.80215,0.86174,0.5739,0.67802,0.36692,1.69444,1.62715,1.92209,0.0007624,0.0007624,0.0007624
26,540.803,1.70732,1.5507,1.78593,0.68268,0.62923,0.65021,0.35077,1.70635,1.65743,1.93745,0.0007525,0.0007525,0.0007525
27,560.884,1.67995,1.54018,1.78767,0.71903,0.59618,0.70568,0.38966,1.66749,1.6283,1.90132,0.0007426,0.0007426,0.0007426
28,582.048,1.68559,1.55177,1.77697,0.73357,0.61675,0.65435,0.36717,1.6781,1.57202,1.98889,0.0007327,0.0007327,0.0007327
29,604.088,1.67388,1.52107,1.76508,0.75091,0.64168,0.70664,0.39543,1.60872,1.57287,1.89759,0.0007228,0.0007228,0.0007228
30,623.62,1.65402,1.51478,1.74731,0.79939,0.5176,0.64437,0.36043,1.7006,1.67389,1.86551,0.0007129,0.0007129,0.0007129
31,643.48,1.65985,1.52333,1.76182,0.85504,0.59831,0.67831,0.37726,1.65446,1.56088,1.93572,0.000703,0.000703,0.000703
32,665.62,1.64062,1.49729,1.75453,0.8783,0.55219,0.71506,0.35665,1.61523,1.55662,1.94741,0.0006931,0.0006931,0.0006931
33,687.801,1.64411,1.5127,1.74849,0.83322,0.5687,0.69511,0.35507,1.66541,1.60259,1.90779,0.0006832,0.0006832,0.0006832
34,708.241,1.6413,1.48618,1.74084,0.78792,0.64714,0.64018,0.34891,1.71965,1.63372,1.92715,0.0006733,0.0006733,0.0006733
35,728.275,1.64684,1.48505,1.75187,0.82699,0.63817,0.74326,0.40564,1.60295,1.492,1.87112,0.0006634,0.0006634,0.0006634
36,748.803,1.62651,1.47392,1.72791,0.71937,0.6042,0.63716,0.35272,1.77716,1.7001,1.93756,0.0006535,0.0006535,0.0006535
37,768.247,1.60972,1.44654,1.71209,0.81076,0.62166,0.66005,0.38006,1.59234,1.56894,1.84247,0.0006436,0.0006436,0.0006436
38,788.719,1.63406,1.44151,1.72952,0.76985,0.62959,0.69345,0.40627,1.57629,1.46519,1.8589,0.0006337,0.0006337,0.0006337
39,810.397,1.59967,1.44123,1.72535,0.55877,0.7538,0.73567,0.42998,1.47729,1.4647,1.78617,0.0006238,0.0006238,0.0006238
40,832.378,1.59169,1.44919,1.70754,0.86857,0.6185,0.76496,0.4404,1.47134,1.38775,1.79458,0.0006139,0.0006139,0.0006139
