epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,30.6807,3.96111,3.62396,3.80693,0.50977,0.15686,0.0445,0.00989,3.51167,3.55891,3.60667,0.000332581,0.000332581,0.000332581
2,61.1138,2.9479,2.76412,3.01336,0.6312,0.13486,0.16829,0.06667,2.88702,3.69495,3.0291,0.000659322,0.000659322,0.000659322
3,90.3009,2.55143,2.46615,2.64178,0.52798,0.13671,0.19085,0.06352,2.67901,2.84358,2.91053,0.000979462,0.000979462,0.000979462
4,117.57,2.33443,2.28226,2.428,0.75435,0.25696,0.27203,0.08746,2.58582,2.43835,2.79755,0.0009703,0.0009703,0.0009703
5,150.999,2.2064,2.12403,2.28661,0.69441,0.22493,0.30602,0.11282,2.36525,2.43345,2.61055,0.0009604,0.0009604,0.0009604
6,181.807,2.14072,2.03747,2.22475,0.31617,0.59485,0.40119,0.16318,2.31104,3.06489,2.58665,0.0009505,0.0009505,0.0009505
7,220.765,2.05394,1.92926,2.13387,0.28152,0.53377,0.43874,0.20091,2.16669,2.31646,2.41557,0.0009406,0.0009406,0.0009406
8,254.328,2.02194,1.89895,2.09249,0.64766,0.51009,0.50473,0.21976,1.97145,1.98073,2.28495,0.0009307,0.0009307,0.0009307
9,283.995,1.97771,1.87718,2.05762,0.47985,0.56492,0.49583,0.22051,1.90699,1.92848,2.25485,0.0009208,0.0009208,0.0009208
10,312.864,1.90273,1.78393,1.99121,0.71252,0.42861,0.44006,0.18135,2.26501,2.03241,2.37179,0.0009109,0.0009109,0.0009109
11,341.607,1.90163,1.79333,1.98652,0.59726,0.57946,0.56088,0.28543,1.92704,2.0628,2.13579,0.000901,0.000901,0.000901
12,371.46,1.83174,1.74485,1.9419,0.40601,0.60073,0.58039,0.29093,2.08033,2.03874,2.22342,0.0008911,0.0008911,0.0008911
13,404.778,1.83499,1.72485,1.93467,0.39552,0.67784,0.5658,0.26376,1.83278,2.02231,2.16428,0.0008812,0.0008812,0.0008812
14,434.92,1.7875,1.67849,1.90352,0.54396,0.68885,0.6291,0.3149,1.69893,1.69161,2.06169,0.0008713,0.0008713,0.0008713
15,463.566,1.79468,1.66679,1.88117,0.59271,0.76411,0.75788,0.3698,1.63119,1.6227,2.01222,0.0008614,0.0008614,0.0008614
16,489.713,1.78603,1.65655,1.86803,0.85321,0.42142,0.6085,0.27519,1.88507,1.78974,2.17268,0.0008515,0.0008515,0.0008515
17,516.601,1.76171,1.62597,1.8521,0.61177,0.71702,0.74698,0.35879,1.6938,1.59328,2.10138,0.0008416,0.0008416,0.0008416
18,543.378,1.74955,1.62016,1.86784,0.64532,0.72021,0.70311,0.36319,1.72111,1.57926,2.01653,0.0008317,0.0008317,0.0008317
19,572.387,1.74825,1.60854,1.85673,0.58123,0.58007,0.62828,0.31341,1.62584,1.57411,1.97906,0.0008218,0.0008218,0.0008218
20,601.231,1.75561,1.6322,1.85243,0.54351,0.73479,0.65215,0.34883,1.79054,1.71741,2.09367,0.0008119,0.0008119,0.0008119
21,627.45,1.72027,1.56234,1.81462,0.65663,0.63676,0.65127,0.35281,1.72346,1.67222,1.98731,0.000802,0.000802,0.000802
22,654.327,1.70427,1.56444,1.80211,0.69569,0.62658,0.7003,0.36345,1.61365,1.60884,1.90307,0.0007921,0.0007921,0.0007921
23,680.917,1.68665,1.53116,1.79444,0.76521,0.5906,0.69838,0.33722,1.64735,1.61626,1.95934,0.0007822,0.0007822,0.0007822
24,708.353,1.68742,1.52341,1.7792,0.79991,0.61295,0.72924,0.40167,1.64703,1.47509,2.03342,0.0007723,0.0007723,0.0007723
25,734.792,1.69095,1.53686,1.79426,0.81115,0.59119,0.72431,0.3942,1.71556,1.57909,2.02695,0.0007624,0.0007624,0.0007624
26,760.749,1.66566,1.49935,1.7673,0.77875,0.64092,0.75531,0.38466,1.69739,1.50725,2.07564,0.0007525,0.0007525,0.0007525
27,785.83,1.65147,1.49385,1.77593,0.78474,0.58993,0.70736,0.37914,1.596,1.53309,1.93373,0.0007426,0.0007426,0.0007426
28,810.818,1.64044,1.50128,1.75394,0.83616,0.62507,0.7798,0.41962,1.54153,1.48306,1.90538,0.0007327,0.0007327,0.0007327
29,842.446,1.64849,1.48015,1.7536,0.757,0.57482,0.65898,0.36729,1.6145,1.5851,1.95572,0.0007228,0.0007228,0.0007228
30,872.771,1.61064,1.46084,1.72913,0.75012,0.59939,0.65683,0.37064,1.75803,1.53169,2.00713,0.0007129,0.0007129,0.0007129
31,901.496,1.639,1.46726,1.74747,0.75924,0.6286,0.7276,0.41176,1.57659,1.46538,1.92004,0.000703,0.000703,0.000703
32,930.719,1.60784,1.44735,1.73368,0.65438,0.79175,0.78154,0.39592,1.5722,1.42336,1.92436,0.0006931,0.0006931,0.0006931
33,958.891,1.60252,1.45743,1.7233,0.66113,0.61786,0.68554,0.37208,1.62048,1.5523,1.91718,0.0006832,0.0006832,0.0006832
34,986.089,1.60523,1.42247,1.71774,0.66849,0.65507,0.74628,0.41633,1.65869,1.46487,1.95494,0.0006733,0.0006733,0.0006733
35,1012.97,1.6054,1.42285,1.72642,0.78873,0.62617,0.7658,0.4063,1.71906,1.43733,1.97482,0.0006634,0.0006634,0.0006634
36,1038.96,1.59517,1.40425,1.70609,0.68534,0.71155,0.70594,0.38288,1.61191,1.46333,1.90845,0.0006535,0.0006535,0.0006535
37,1066.84,1.56103,1.4011,1.68659,0.64089,0.78776,0.76534,0.44388,1.53409,1.42521,1.90609,0.0006436,0.0006436,0.0006436
38,1095.21,1.59692,1.40136,1.71447,0.71144,0.6621,0.69198,0.39084,1.55192,1.4487,1.91104,0.0006337,0.0006337,0.0006337
39,1122.32,1.56787,1.39193,1.71303,0.71049,0.69983,0.75284,0.40378,1.51443,1.46568,1.89907,0.0006238,0.0006238,0.0006238
40,1148.38,1.56102,1.39712,1.69404,0.64558,0.72632,0.7378,0.41782,1.50962,1.39485,1.88201,0.0006139,0.0006139,0.0006139
41,1174.76,1.55187,1.36978,1.69377,0.74448,0.716,0.7714,0.41404,1.4695,1.3984,1.87935,0.000604,0.000604,0.000604
42,1201.54,1.53103,1.36675,1.6695,0.76395,0.65857,0.74498,0.38732,1.57278,1.42273,1.92594,0.0005941,0.0005941,0.0005941
43,1228.23,1.54615,1.37803,1.68629,0.72738,0.67834,0.75659,0.38206,1.58894,1.49682,1.9549,0.0005842,0.0005842,0.0005842
44,1254.37,1.54945,1.37947,1.68197,0.55837,0.71676,0.69385,0.37654,1.66335,1.48524,1.93197,0.0005743,0.0005743,0.0005743
45,1280.54,1.5539,1.3572,1.68305,0.76121,0.74378,0.78409,0.41952,1.57068,1.34469,1.93613,0.0005644,0.0005644,0.0005644
46,1306.83,1.52564,1.33422,1.66193,0.87422,0.63887,0.78027,0.441,1.53617,1.37727,1.86497,0.0005545,0.0005545,0.0005545
47,1333.46,1.54583,1.34928,1.66936,0.76108,0.71546,0.78611,0.43012,1.49976,1.3901,1.88484,0.0005446,0.0005446,0.0005446
48,1360.16,1.53251,1.32207,1.66113,0.76709,0.73077,0.79573,0.43237,1.48655,1.32465,1.86651,0.0005347,0.0005347,0.0005347
49,1389.7,1.52463,1.32938,1.66467,0.6434,0.7519,0.76169,0.41835,1.50789,1.36296,1.87553,0.0005248,0.0005248,0.0005248
50,1419.29,1.53489,1.33134,1.6673,0.80681,0.62464,0.78658,0.40633,1.5826,1.36503,1.92371,0.0005149,0.0005149,0.0005149
51,1448.29,1.51131,1.30502,1.6426,0.6254,0.73768,0.73532,0.42394,1.55324,1.41421,1.89255,0.000505,0.000505,0.000505
52,1477.2,1.4994,1.31749,1.65877,0.64576,0.7461,0.72148,0.38513,1.58382,1.40687,1.92588,0.0004951,0.0004951,0.0004951
53,1506.13,1.49785,1.30445,1.64693,0.58912,0.80628,0.73654,0.42466,1.53759,1.35717,1.85042,0.0004852,0.0004852,0.0004852
54,1535.23,1.50636,1.31507,1.64034,0.67911,0.67082,0.73893,0.42558,1.61325,1.35807,1.92557,0.0004753,0.0004753,0.0004753
55,1563.25,1.50209,1.32454,1.65548,0.58975,0.72526,0.71959,0.40038,1.548,1.3396,1.87681,0.0004654,0.0004654,0.0004654
56,1593.26,1.49182,1.29869,1.63172,0.72444,0.69581,0.76586,0.41483,1.53834,1.30697,1.83784,0.0004555,0.0004555,0.0004555
57,1621.91,1.4753,1.27073,1.61576,0.751,0.75468,0.78557,0.45321,1.45829,1.27579,1.80423,0.0004456,0.0004456,0.0004456
58,1651.58,1.46059,1.26332,1.61606,0.63196,0.76693,0.76206,0.41053,1.54885,1.35541,1.84261,0.0004357,0.0004357,0.0004357
59,1680.84,1.47751,1.28247,1.63166,0.79314,0.70453,0.77306,0.46206,1.38284,1.2925,1.80549,0.0004258,0.0004258,0.0004258
60,1708.22,1.46272,1.26861,1.616,0.7965,0.71932,0.77199,0.44411,1.53265,1.30881,1.87596,0.0004159,0.0004159,0.0004159
61,1734.86,1.48079,1.26102,1.6305,0.72455,0.7657,0.80936,0.46445,1.52724,1.23267,1.83221,0.000406,0.000406,0.000406
62,1760.67,1.44328,1.24854,1.62132,0.79738,0.72526,0.80225,0.42896,1.52025,1.33204,1.86065,0.0003961,0.0003961,0.0003961
63,1787.36,1.45564,1.22881,1.60522,0.63859,0.71876,0.77644,0.44398,1.47665,1.26213,1.83259,0.0003862,0.0003862,0.0003862
64,1813.91,1.44409,1.22992,1.60662,0.77561,0.73174,0.77422,0.40874,1.57277,1.39525,1.89391,0.0003763,0.0003763,0.0003763
65,1840.32,1.45562,1.24534,1.61376,0.78678,0.72873,0.74941,0.40194,1.60055,1.47107,1.85162,0.0003664,0.0003664,0.0003664
66,1866.92,1.44475,1.23006,1.59409,0.65976,0.76578,0.76424,0.41337,1.54175,1.29131,1.86943,0.0003565,0.0003565,0.0003565
67,1894.49,1.44598,1.23172,1.59884,0.71221,0.73484,0.74535,0.43151,1.48418,1.32281,1.80834,0.0003466,0.0003466,0.0003466
68,1921.5,1.44241,1.21052,1.60107,0.64355,0.7623,0.76442,0.43557,1.56637,1.27993,1.90039,0.0003367,0.0003367,0.0003367
69,1948.34,1.44389,1.21745,1.59442,0.76624,0.70165,0.7744,0.42567,1.59108,1.31385,1.88838,0.0003268,0.0003268,0.0003268
70,1974.62,1.41955,1.21312,1.5842,0.79256,0.73595,0.77408,0.43932,1.49694,1.28596,1.8278,0.0003169,0.0003169,0.0003169
71,2001.64,1.43594,1.21616,1.5975,0.61772,0.76462,0.71232,0.37825,1.58284,1.33743,1.9155,0.000307,0.000307,0.000307
72,2028.72,1.42695,1.21609,1.59068,0.74539,0.71113,0.77242,0.42153,1.55267,1.28552,1.82791,0.0002971,0.0002971,0.0002971
73,2055.46,1.42216,1.20758,1.60528,0.77747,0.70184,0.74814,0.40207,1.51564,1.34528,1.87136,0.0002872,0.0002872,0.0002872
74,2081.35,1.4286,1.22917,1.60294,0.6675,0.76445,0.7906,0.42265,1.54133,1.34076,1.91228,0.0002773,0.0002773,0.0002773
75,2107.86,1.41113,1.19816,1.59502,0.58987,0.764,0.74941,0.41491,1.53954,1.351,1.89127,0.0002674,0.0002674,0.0002674
76,2134.51,1.41331,1.18696,1.58198,0.6371,0.68864,0.70369,0.42295,1.59967,1.37358,1.93051,0.0002575,0.0002575,0.0002575
77,2161.08,1.42698,1.20731,1.59961,0.6513,0.71189,0.72157,0.40042,1.51111,1.29881,1.89569,0.0002476,0.0002476,0.0002476
78,2186.95,1.41208,1.1679,1.57981,0.66228,0.78545,0.75711,0.42774,1.47344,1.27214,1.82731,0.0002377,0.0002377,0.0002377
79,2213.54,1.40931,1.17246,1.57254,0.65164,0.77234,0.74183,0.41742,1.50243,1.29778,1.83514,0.0002278,0.0002278,0.0002278
80,2239.88,1.39085,1.1602,1.56646,0.64801,0.74517,0.74873,0.41844,1.59623,1.32113,1.91112,0.0002179,0.0002179,0.0002179
81,2267.43,1.39834,1.15724,1.58097,0.74888,0.75778,0.79075,0.43839,1.5527,1.27033,1.89849,0.000208,0.000208,0.000208
82,2296.06,1.40238,1.16578,1.56379,0.79078,0.71234,0.7766,0.42841,1.51854,1.29732,1.85217,0.0001981,0.0001981,0.0001981
83,2324.78,1.39771,1.15667,1.56338,0.77615,0.7234,0.77139,0.39766,1.55837,1.30751,1.87444,0.0001882,0.0001882,0.0001882
84,2353.23,1.36672,1.12712,1.54869,0.75653,0.72653,0.75681,0.4621,1.49421,1.22805,1.84773,0.0001783,0.0001783,0.0001783
85,2382.24,1.38584,1.16595,1.56959,0.6986,0.73638,0.77606,0.44932,1.53782,1.22361,1.86529,0.0001684,0.0001684,0.0001684
86,2411.11,1.37368,1.15547,1.5658,0.75615,0.75661,0.78064,0.43486,1.50563,1.27778,1.86532,0.0001585,0.0001585,0.0001585
87,2439.23,1.38835,1.14585,1.56911,0.78968,0.70632,0.7518,0.43168,1.52386,1.26055,1.83347,0.0001486,0.0001486,0.0001486
88,2465.12,1.37335,1.12739,1.55132,0.65203,0.78991,0.78466,0.44729,1.50198,1.23796,1.83499,0.0001387,0.0001387,0.0001387
