epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,28.8213,4.21703,4.18328,4.03794,0.69247,0.01961,0.01234,0.00317,3.8725,4.26197,3.87083,0.000332581,0.000332581,0.000332581
2,48.7978,3.35073,3.27587,3.31416,0.39343,0.09825,0.09466,0.02557,3.32091,3.30165,3.3223,0.000659322,0.000659322,0.000659322
3,67.9229,2.86767,2.84823,2.82372,0.60018,0.20321,0.16466,0.05915,2.74537,2.8903,2.83927,0.000979462,0.000979462,0.000979462
4,86.5421,2.58506,2.64195,2.56815,0.33297,0.27799,0.25243,0.07321,2.68227,2.72584,2.77971,0.0009703,0.0009703,0.0009703
5,105.116,2.36094,2.38623,2.37577,0.34921,0.39091,0.26621,0.0848,2.56206,2.66887,2.63409,0.0009604,0.0009604,0.0009604
6,123.62,2.28587,2.28932,2.28697,0.29638,0.41229,0.3416,0.1365,2.5835,2.88142,2.66169,0.0009505,0.0009505,0.0009505
7,142.266,2.18204,2.17676,2.21619,0.48019,0.32077,0.35566,0.15926,2.14561,2.2991,2.33993,0.0009406,0.0009406,0.0009406
8,161.201,2.14683,2.11877,2.15062,0.3276,0.50984,0.40807,0.1592,2.19754,2.4225,2.28156,0.0009307,0.0009307,0.0009307
9,180.281,2.08778,2.08049,2.1099,0.49957,0.44602,0.38424,0.17229,2.12089,2.38963,2.27695,0.0009208,0.0009208,0.0009208
10,199.603,2.0475,2.00184,2.06787,0.26872,0.46918,0.39116,0.15296,2.09351,2.37111,2.30076,0.0009109,0.0009109,0.0009109
11,223.224,2.02389,1.99515,2.04611,0.45471,0.42546,0.37364,0.18873,2.08149,3.08195,2.33843,0.000901,0.000901,0.000901
12,248.866,1.97376,1.95618,2.00559,0.63035,0.44072,0.42748,0.18527,2.01291,3.24603,2.19034,0.0008911,0.0008911,0.0008911
13,271.292,1.9485,1.93755,1.99077,0.32561,0.68266,0.46901,0.22485,2.04487,2.26029,2.1748,0.0008812,0.0008812,0.0008812
14,292.503,1.91626,1.87146,1.96087,0.43684,0.57299,0.53647,0.23245,2.04613,2.25642,2.22825,0.0008713,0.0008713,0.0008713
15,313.571,1.90331,1.88654,1.92284,0.31647,0.60174,0.49573,0.25686,1.85731,1.96965,2.08208,0.0008614,0.0008614,0.0008614
16,336.107,1.90323,1.84729,1.91846,0.34724,0.52237,0.49026,0.24515,1.99083,2.28308,2.14554,0.0008515,0.0008515,0.0008515
17,358.39,1.85658,1.82252,1.8974,0.54581,0.60612,0.57257,0.26247,2.01225,2.11527,2.24608,0.0008416,0.0008416,0.0008416
18,382.656,1.85286,1.81607,1.91038,0.65339,0.61336,0.65035,0.31686,1.92797,1.97641,2.08756,0.0008317,0.0008317,0.0008317
19,405.743,1.83954,1.79916,1.88527,0.47208,0.65774,0.60452,0.29051,1.95803,1.84731,2.06828,0.0008218,0.0008218,0.0008218
20,427.967,1.85184,1.79027,1.88147,0.53954,0.67049,0.61646,0.29369,1.98099,2.10935,2.13552,0.0008119,0.0008119,0.0008119
21,452.158,1.81489,1.73893,1.84451,0.53637,0.66998,0.62347,0.31391,1.87766,1.75382,2.04327,0.000802,0.000802,0.000802
22,477.502,1.78996,1.73317,1.83397,0.64749,0.62928,0.62874,0.29928,1.86218,2.14153,1.99853,0.0007921,0.0007921,0.0007921
23,501.99,1.7909,1.71829,1.82866,0.74753,0.58378,0.62351,0.3129,1.90978,1.90444,2.03146,0.0007822,0.0007822,0.0007822
24,527.558,1.8037,1.7197,1.82589,0.47311,0.7082,0.66076,0.34892,1.81188,1.69736,1.98891,0.0007723,0.0007723,0.0007723
25,550.857,1.77692,1.71968,1.80911,0.66348,0.61329,0.68369,0.34045,1.78734,1.61199,1.98521,0.0007624,0.0007624,0.0007624
26,571.816,1.7583,1.68357,1.78843,0.60419,0.64266,0.64363,0.33884,1.84109,1.77889,1.97587,0.0007525,0.0007525,0.0007525
27,591.148,1.73624,1.66716,1.79935,0.7228,0.55929,0.6432,0.32749,1.82509,1.69222,2.00696,0.0007426,0.0007426,0.0007426
28,609.795,1.75831,1.67162,1.79562,0.78893,0.52646,0.60263,0.33889,1.71942,1.75094,1.8925,0.0007327,0.0007327,0.0007327
29,636.566,1.74311,1.64481,1.78777,0.46745,0.64401,0.61115,0.32621,1.85734,1.85798,2.02853,0.0007228,0.0007228,0.0007228
30,660.736,1.70199,1.65009,1.75339,0.45775,0.65617,0.62281,0.30825,1.85174,1.80108,1.91216,0.0007129,0.0007129,0.0007129
31,687.77,1.72444,1.64326,1.76898,0.67844,0.61186,0.64826,0.32028,1.78883,1.66474,1.93101,0.000703,0.000703,0.000703
32,707.066,1.71552,1.6351,1.76688,0.71057,0.59741,0.68561,0.35742,1.73102,1.69289,1.86934,0.0006931,0.0006931,0.0006931
33,725.645,1.71704,1.64442,1.76451,0.68896,0.49788,0.6033,0.31923,1.75664,1.75037,1.87635,0.0006832,0.0006832,0.0006832
34,744.911,1.70853,1.61742,1.75609,0.85591,0.50177,0.60156,0.31384,1.82012,1.74782,1.9221,0.0006733,0.0006733,0.0006733
35,764.033,1.70018,1.59251,1.75916,0.7098,0.61529,0.64955,0.32974,1.84476,1.6912,1.94886,0.0006634,0.0006634,0.0006634
36,782.863,1.70302,1.60015,1.7504,0.52663,0.56431,0.5848,0.30069,1.8149,1.72798,1.92727,0.0006535,0.0006535,0.0006535
37,801.651,1.68746,1.57918,1.7314,0.7371,0.52773,0.64567,0.34895,1.66222,1.66741,1.86825,0.0006436,0.0006436,0.0006436
38,820.744,1.70108,1.58841,1.74683,0.60347,0.70334,0.72457,0.40443,1.64232,1.57285,1.84414,0.0006337,0.0006337,0.0006337
39,840.02,1.67688,1.57483,1.73927,0.74856,0.48475,0.62831,0.36531,1.70368,1.61167,1.83611,0.0006238,0.0006238,0.0006238
40,859.6,1.66609,1.57588,1.72105,0.90011,0.51677,0.64976,0.36773,1.72741,1.62291,1.87178,0.0006139,0.0006139,0.0006139
41,880.654,1.66518,1.55573,1.72443,0.49607,0.69203,0.66346,0.35703,1.69983,1.58884,1.84255,0.000604,0.000604,0.000604
42,899.251,1.65159,1.55295,1.70662,0.81627,0.50848,0.64257,0.35265,1.75564,1.56785,1.87363,0.0005941,0.0005941,0.0005941
43,917.808,1.65433,1.57276,1.7163,0.64437,0.70937,0.69942,0.36637,1.75921,1.58521,1.91238,0.0005842,0.0005842,0.0005842
44,936.309,1.65591,1.56885,1.70718,0.64269,0.63147,0.62699,0.35202,1.70659,1.59594,1.86347,0.0005743,0.0005743,0.0005743
45,954.648,1.64834,1.55189,1.71048,0.56232,0.7346,0.70776,0.38708,1.67895,1.45957,1.86924,0.0005644,0.0005644,0.0005644
46,973.128,1.62919,1.52081,1.69613,0.76113,0.64493,0.66432,0.37466,1.65436,1.55366,1.82865,0.0005545,0.0005545,0.0005545
47,991.458,1.65141,1.52404,1.69654,0.7079,0.61295,0.67868,0.3865,1.71762,1.51986,1.86889,0.0005446,0.0005446,0.0005446
48,1009.74,1.63691,1.51168,1.69197,0.45598,0.75424,0.7339,0.40479,1.66183,1.4965,1.84925,0.0005347,0.0005347,0.0005347
49,1028.3,1.61656,1.50458,1.68754,0.75454,0.55305,0.63302,0.37356,1.675,1.59443,1.79384,0.0005248,0.0005248,0.0005248
50,1046.74,1.63447,1.51913,1.69228,0.77716,0.63105,0.69474,0.40602,1.61842,1.47125,1.81549,0.0005149,0.0005149,0.0005149
51,1065.26,1.62539,1.49031,1.67304,0.86277,0.5359,0.67712,0.38375,1.65312,1.60706,1.77199,0.000505,0.000505,0.000505
52,1083.7,1.61115,1.50137,1.68444,0.73923,0.65346,0.68383,0.39422,1.71929,1.54423,1.81147,0.0004951,0.0004951,0.0004951
53,1102.18,1.59987,1.48068,1.67108,0.4973,0.70574,0.69598,0.37509,1.6985,1.52049,1.86304,0.0004852,0.0004852,0.0004852
54,1120.71,1.61309,1.49658,1.66749,0.70745,0.59132,0.61984,0.35989,1.73209,1.53091,1.87467,0.0004753,0.0004753,0.0004753
55,1145.37,1.61862,1.49631,1.68487,0.7367,0.58128,0.6625,0.36596,1.67049,1.57635,1.81541,0.0004654,0.0004654,0.0004654
56,1170.41,1.60353,1.48215,1.66344,0.70943,0.62664,0.69091,0.38799,1.62587,1.5229,1.77111,0.0004555,0.0004555,0.0004555
57,1194.43,1.59178,1.45968,1.64914,0.79181,0.57083,0.6571,0.36755,1.64744,1.56537,1.77731,0.0004456,0.0004456,0.0004456
58,1216.43,1.57715,1.45451,1.65223,0.75087,0.67069,0.68611,0.39097,1.67997,1.46994,1.82906,0.0004357,0.0004357,0.0004357
59,1235.12,1.60351,1.46625,1.67633,0.78585,0.55906,0.68636,0.39375,1.58882,1.49839,1.75904,0.0004258,0.0004258,0.0004258
