epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,106.632,3.02343,4.14675,3.84805,0.71442,0.10172,0.03047,0.0058,3.00229,5.98096,3.6552,0.000332581,0.000332581,0.000332581
2,201.748,2.51418,3.74443,3.19606,0.55547,0.01961,0.02217,0.00284,3.42691,7.21094,3.72647,0.000659322,0.000659322,0.000659322
3,291.788,2.25644,3.40372,2.8554,0.28687,0.16842,0.10762,0.03487,2.49987,4.674,3.20259,0.000979462,0.000979462,0.000979462
4,379.757,2.12668,3.16015,2.71354,0.47762,0.39292,0.33329,0.09767,2.27389,5.30103,3.01851,0.0009703,0.0009703,0.0009703
5,467.815,2.04615,2.98879,2.61119,0.26012,0.33194,0.26634,0.06587,2.338,3.7609,2.88667,0.0009604,0.0009604,0.0009604
6,560.268,1.96332,2.83859,2.5291,0.61208,0.40341,0.40735,0.14197,2.21887,3.19959,2.83131,0.0009505,0.0009505,0.0009505
7,648.473,1.92409,2.70161,2.49615,0.37968,0.50983,0.43206,0.13598,2.12049,2.8711,2.74505,0.0009406,0.0009406,0.0009406
8,738.762,1.88387,2.61653,2.45186,0.59223,0.4405,0.54182,0.18306,2.1604,2.51196,2.80333,0.0009307,0.0009307,0.0009307
9,827.772,1.86942,2.60503,2.4228,0.50668,0.47642,0.45284,0.12667,2.21393,2.88822,2.82329,0.0009208,0.0009208,0.0009208
10,915.622,1.86435,2.57189,2.42058,0.54979,0.5144,0.48926,0.18968,2.10689,2.4035,2.64133,0.0009109,0.0009109,0.0009109
11,1004.28,1.82519,2.51183,2.38601,0.39556,0.47026,0.42119,0.14669,2.15463,2.62752,2.72682,0.000901,0.000901,0.000901
12,1089.88,1.81299,2.44291,2.36189,0.54952,0.48063,0.43813,0.12735,2.06042,2.58699,2.70275,0.0008911,0.0008911,0.0008911
13,1178.06,1.80407,2.41849,2.35753,0.64797,0.53415,0.48643,0.18984,1.92711,2.34683,2.5191,0.0008812,0.0008812,0.0008812
14,1262.98,1.79754,2.4044,2.36101,0.53293,0.50764,0.48198,0.18471,2.1096,2.4283,2.68457,0.0008713,0.0008713,0.0008713
15,1349.71,1.75482,2.33798,2.31216,0.62902,0.71157,0.68303,0.2288,1.92548,2.00287,2.53029,0.0008614,0.0008614,0.0008614
16,1438.52,1.76919,2.35216,2.31952,0.60906,0.6613,0.60489,0.19598,2.03194,2.01643,2.52398,0.0008515,0.0008515,0.0008515
17,1522.39,1.73497,2.26481,2.28244,0.52372,0.52855,0.47253,0.17318,2.05691,2.08927,2.48606,0.0008416,0.0008416,0.0008416
18,1608.84,1.74398,2.27578,2.2865,0.41055,0.6052,0.49626,0.19992,1.81373,2.12251,2.32144,0.0008317,0.0008317,0.0008317
19,1696.14,1.72503,2.28566,2.28607,0.48115,0.63475,0.57886,0.2474,1.78851,2.00462,2.30298,0.0008218,0.0008218,0.0008218
20,1783.42,1.71667,2.26402,2.29479,0.53465,0.58576,0.57273,0.2368,1.87036,2.04835,2.38091,0.0008119,0.0008119,0.0008119
21,1868.62,1.72381,2.21662,2.27211,0.57996,0.42912,0.40362,0.15158,2.0533,2.3501,2.61015,0.000802,0.000802,0.000802
22,1955.9,1.70462,2.22895,2.26914,0.46916,0.55352,0.52027,0.18414,1.97809,2.05754,2.47663,0.0007921,0.0007921,0.0007921
23,2043.06,1.68358,2.20857,2.25001,0.46308,0.49858,0.44649,0.15819,2.02298,1.96091,2.57971,0.0007822,0.0007822,0.0007822
24,2129.16,1.70834,2.22683,2.26005,0.50055,0.57298,0.49158,0.16909,1.90404,1.95116,2.43268,0.0007723,0.0007723,0.0007723
25,2216.6,1.67988,2.1545,2.23638,0.44172,0.49337,0.49199,0.17839,2.00997,2.08053,2.55613,0.0007624,0.0007624,0.0007624
26,2304.19,1.68323,2.16127,2.23636,0.63616,0.64496,0.62076,0.28984,1.7779,1.89618,2.33638,0.0007525,0.0007525,0.0007525
27,2393.45,1.65612,2.13884,2.20808,0.62625,0.56441,0.57516,0.19038,1.94348,1.99794,2.50405,0.0007426,0.0007426,0.0007426
28,2479.96,1.66338,2.13221,2.21749,0.64956,0.66988,0.65731,0.28379,1.89329,1.81795,2.40885,0.0007327,0.0007327,0.0007327
29,2564.63,1.66477,2.10731,2.21577,0.57613,0.7308,0.65402,0.26492,1.88632,1.82093,2.45655,0.0007228,0.0007228,0.0007228
30,2650.61,1.66904,2.13889,2.21463,0.69445,0.6306,0.67054,0.2858,1.79009,1.74391,2.32658,0.0007129,0.0007129,0.0007129
31,2733.94,1.66166,2.09767,2.21094,0.60925,0.69417,0.63495,0.23616,1.87583,1.84123,2.33381,0.000703,0.000703,0.000703
32,2819.27,1.63977,2.05645,2.18318,0.4914,0.4964,0.46556,0.21044,1.92434,1.98866,2.50594,0.0006931,0.0006931,0.0006931
33,2907.97,1.63441,2.05316,2.18293,0.64722,0.73978,0.67505,0.23906,1.88479,1.8351,2.41205,0.0006832,0.0006832,0.0006832
34,2994.44,1.646,2.09812,2.20523,0.5915,0.682,0.60031,0.224,1.89616,1.74915,2.41319,0.0006733,0.0006733,0.0006733
35,3082.16,1.61109,2.03263,2.17383,0.60696,0.70334,0.68276,0.26211,1.94806,1.81383,2.49164,0.0006634,0.0006634,0.0006634
36,3171.18,1.64317,2.05145,2.1955,0.51405,0.55414,0.52373,0.20219,1.89044,1.89973,2.44975,0.0006535,0.0006535,0.0006535
37,3261.83,1.60964,2.0262,2.15731,0.6597,0.58502,0.57654,0.21199,1.94949,1.88674,2.49648,0.0006436,0.0006436,0.0006436
38,3353.6,1.59,1.99875,2.16921,0.57254,0.62997,0.57625,0.24889,1.74867,1.79684,2.32082,0.0006337,0.0006337,0.0006337
39,3441.7,1.59846,2.00716,2.16252,0.64086,0.73447,0.68447,0.27128,1.77689,1.7561,2.3302,0.0006238,0.0006238,0.0006238
