epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,66.8615,3.36025,4.16513,3.95695,0.87999,0.03922,0.04978,0.01482,2.97575,4.29857,3.79466,0.000331832,0.000331832,0.000331832
2,119.81,2.76768,3.57447,3.24452,0.86856,0.05882,0.08567,0.02221,2.78855,5.52715,3.2289,0.000643215,0.000643215,0.000643215
3,172.038,2.44321,3.22591,2.87554,0.24541,0.3068,0.15637,0.04417,2.64517,4.53019,3.21054,0.000932598,0.000932598,0.000932598
4,223.806,2.22536,2.99787,2.64721,0.19169,0.65327,0.32436,0.11668,2.2466,3.11533,2.77559,0.000901,0.000901,0.000901
5,275.515,2.05548,2.69358,2.51244,0.26915,0.40316,0.35843,0.16107,1.93486,3.15367,2.54435,0.000868,0.000868,0.000868
6,330.524,1.98947,2.56876,2.44568,0.45809,0.42838,0.37641,0.15396,1.89492,2.5611,2.39954,0.000835,0.000835,0.000835
7,384.352,1.90835,2.42216,2.35864,0.38726,0.56083,0.49346,0.22602,1.87435,2.08332,2.40621,0.000802,0.000802,0.000802
8,438.171,1.85329,2.3113,2.30919,0.44451,0.55898,0.52509,0.21643,1.95061,2.14077,2.35909,0.000769,0.000769,0.000769
9,493.192,1.80511,2.25003,2.27358,0.63428,0.39287,0.52039,0.22361,1.76057,2.15,2.24627,0.000736,0.000736,0.000736
10,548.971,1.7508,2.16462,2.22396,0.50899,0.57413,0.62242,0.25848,1.76852,1.83784,2.19929,0.000703,0.000703,0.000703
11,605.987,1.73202,2.105,2.18356,0.58012,0.62133,0.64926,0.26459,1.84998,1.81085,2.30052,0.00067,0.00067,0.00067
12,660.774,1.71187,2.06565,2.17123,0.41187,0.63896,0.6055,0.25091,1.79156,1.9467,2.22758,0.000637,0.000637,0.000637
13,715.228,1.68387,2.03665,2.1391,0.58076,0.51241,0.53552,0.25111,1.66447,1.90075,2.10991,0.000604,0.000604,0.000604
14,767.122,1.6514,1.98632,2.11156,0.875,0.48353,0.63603,0.31728,1.65228,1.70194,2.10379,0.000571,0.000571,0.000571
15,818.381,1.66163,1.95797,2.10753,0.58171,0.62588,0.64881,0.32882,1.64731,1.71808,2.10977,0.000538,0.000538,0.000538
16,869.68,1.62921,1.9442,2.09394,0.45937,0.76949,0.74736,0.34776,1.59227,1.73764,2.03901,0.000505,0.000505,0.000505
17,920.887,1.61745,1.87798,2.06629,0.59269,0.64258,0.69624,0.3857,1.50839,1.55144,1.97736,0.000472,0.000472,0.000472
18,972.273,1.60735,1.86725,2.04968,0.66712,0.67614,0.69809,0.33053,1.69971,1.56623,2.09077,0.000439,0.000439,0.000439
19,1023.64,1.57761,1.82062,2.02907,0.87981,0.52834,0.67175,0.36302,1.5588,1.57868,2.04127,0.000406,0.000406,0.000406
20,1075.35,1.57322,1.8032,2.03195,0.63075,0.7389,0.70839,0.36898,1.56428,1.50709,2.01899,0.000373,0.000373,0.000373
21,1126.56,1.69673,1.87861,2.07941,0.78446,0.58252,0.67572,0.33949,1.57033,1.61081,2.00157,0.00034,0.00034,0.00034
22,1178.04,1.64449,1.80858,2.03699,0.47052,0.68393,0.66653,0.3537,1.58104,1.55369,1.97633,0.000307,0.000307,0.000307
23,1228.57,1.60432,1.71943,2.01262,0.49386,0.70952,0.70948,0.36022,1.53637,1.48533,1.97604,0.000274,0.000274,0.000274
24,1278.78,1.58862,1.70077,2.00237,0.55664,0.77035,0.71527,0.34906,1.62445,1.45003,2.02243,0.000241,0.000241,0.000241
25,1329.28,1.54921,1.6536,1.97676,0.66707,0.76462,0.75316,0.43101,1.50182,1.38601,1.94432,0.000208,0.000208,0.000208
26,1380.41,1.55154,1.62232,1.96352,0.58838,0.74873,0.75009,0.39441,1.5434,1.38509,1.97691,0.000175,0.000175,0.000175
27,1430.86,1.52098,1.59453,1.95252,0.69196,0.74906,0.79182,0.43585,1.45277,1.33266,1.90065,0.000142,0.000142,0.000142
28,1480.8,1.50595,1.56073,1.93192,0.61502,0.74378,0.74554,0.37912,1.50847,1.37592,1.95178,0.000109,0.000109,0.000109
29,1530.72,1.48065,1.53079,1.92047,0.61528,0.74676,0.74235,0.41006,1.47925,1.27911,1.91881,7.6e-05,7.6e-05,7.6e-05
30,1580.58,1.4708,1.51149,1.91821,0.66717,0.76462,0.77414,0.41652,1.49001,1.28301,1.90989,4.3e-05,4.3e-05,4.3e-05
