epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,43.9048,3.18411,4.14918,3.85901,0.7191,0.11275,0.10303,0.04037,2.97579,6.82275,3.693,0.000331832,0.000331832,0.000331832
2,85.9341,2.60566,3.45205,3.1201,0.42835,0.11711,0.05499,0.02772,2.84775,3.82538,3.33127,0.00065858,0.00065858,0.00065858
3,128.74,2.38366,2.96542,2.84177,0.4175,0.11909,0.12467,0.04576,2.5248,3.35174,3.08933,0.000978728,0.000978728,0.000978728
4,171.9,2.20774,2.72426,2.6499,0.29213,0.32247,0.28545,0.11182,2.24824,2.61942,2.70938,0.0009703,0.0009703,0.0009703
5,214.169,2.0886,2.49375,2.52458,0.40443,0.16663,0.1524,0.05772,2.52748,3.86553,2.91658,0.0009604,0.0009604,0.0009604
6,256.038,1.99717,2.33018,2.41465,0.2114,0.37173,0.3069,0.12374,2.16097,2.47529,2.56451,0.0009505,0.0009505,0.0009505
7,297.91,1.9397,2.17887,2.35232,0.53412,0.27664,0.28667,0.11258,2.16253,2.77251,2.67668,0.0009406,0.0009406,0.0009406
8,339.664,1.87265,2.03845,2.2757,0.57819,0.27304,0.43518,0.16865,2.17515,2.12524,2.58736,0.0009307,0.0009307,0.0009307
9,382.635,1.82013,1.96444,2.21891,0.29742,0.58506,0.42037,0.16555,2.14869,2.27203,2.55139,0.0009208,0.0009208,0.0009208
10,424.627,1.76181,1.86131,2.16416,0.5626,0.45066,0.44178,0.17557,2.15001,2.5308,2.62332,0.0009109,0.0009109,0.0009109
11,466.881,1.70874,1.77687,2.11718,0.72656,0.3896,0.52276,0.23462,2.02728,2.16157,2.50226,0.000901,0.000901,0.000901
12,509.465,1.66479,1.71784,2.07026,0.59424,0.40465,0.45821,0.17877,2.10063,2.09318,2.57065,0.0008911,0.0008911,0.0008911
13,551.568,1.60928,1.60578,2.00164,0.57433,0.56135,0.56195,0.22526,1.97983,2.10915,2.50436,0.0008812,0.0008812,0.0008812
14,593.421,1.57796,1.54094,1.9733,0.56962,0.61022,0.53592,0.22692,1.94044,1.98557,2.44445,0.0008713,0.0008713,0.0008713
15,635.447,1.50714,1.44641,1.91806,0.45688,0.62132,0.53616,0.25708,1.9794,2.125,2.51594,0.0008614,0.0008614,0.0008614
16,678.19,1.44418,1.35874,1.86282,0.58697,0.57875,0.59523,0.29519,1.83514,1.63215,2.4278,0.0008515,0.0008515,0.0008515
17,722.218,1.41241,1.29284,1.81777,0.49492,0.5155,0.48476,0.22375,1.92031,1.93328,2.48142,0.0008416,0.0008416,0.0008416
18,764.151,1.33701,1.20603,1.75737,0.48684,0.63809,0.54154,0.24092,2.0205,1.85801,2.57816,0.0008317,0.0008317,0.0008317
19,806.443,1.27205,1.12929,1.71414,0.57734,0.45956,0.53866,0.24419,1.98084,2.2419,2.6927,0.0008218,0.0008218,0.0008218
20,848.521,1.23053,1.07132,1.67884,0.41231,0.33363,0.3181,0.11649,2.26141,2.84186,2.90721,0.0008119,0.0008119,0.0008119
21,890.601,1.16667,0.98228,1.62193,0.45152,0.55417,0.49578,0.23007,1.95771,1.88707,2.5478,0.000802,0.000802,0.000802
22,932.632,1.1067,0.92839,1.56574,0.50356,0.47383,0.47424,0.22923,1.94625,1.94631,2.59125,0.0007921,0.0007921,0.0007921
23,974.484,1.07128,0.88316,1.54273,0.56684,0.45652,0.51871,0.23656,2.05799,1.85972,2.65763,0.0007822,0.0007822,0.0007822
24,1016.3,0.99905,0.80401,1.47608,0.5397,0.48828,0.52221,0.25941,2.04202,1.82312,2.63093,0.0007723,0.0007723,0.0007723
25,1058.63,0.96939,0.77566,1.45018,0.53995,0.4491,0.47916,0.23347,1.99786,1.90427,2.77189,0.0007624,0.0007624,0.0007624
26,1101.22,0.91957,0.72882,1.40073,0.4774,0.5698,0.52179,0.22822,2.14829,1.74308,2.94632,0.0007525,0.0007525,0.0007525
27,1143.35,0.89143,0.69815,1.375,0.56554,0.57985,0.54288,0.23754,2.12556,1.80537,2.90029,0.0007426,0.0007426,0.0007426
28,1185.42,0.86353,0.66817,1.3519,0.62554,0.59981,0.55071,0.26356,1.99156,1.94221,2.78673,0.0007327,0.0007327,0.0007327
29,1227.56,0.8173,0.63163,1.31295,0.54024,0.40922,0.4587,0.22645,2.05309,2.01959,2.72574,0.0007228,0.0007228,0.0007228
30,1269.48,0.79067,0.60183,1.28388,0.60374,0.49729,0.51045,0.23955,1.9533,1.96774,2.79405,0.0007129,0.0007129,0.0007129
31,1311.36,0.76353,0.58169,1.25795,0.53757,0.49594,0.49798,0.22913,2.2014,1.9079,3.06636,0.000703,0.000703,0.000703
32,1353.19,0.7368,0.54849,1.23502,0.65307,0.4437,0.55285,0.27685,1.94698,1.84653,2.70785,0.0006931,0.0006931,0.0006931
33,1394.9,0.71588,0.53606,1.21635,0.61283,0.45512,0.4662,0.2121,2.13427,2.12399,2.99236,0.0006832,0.0006832,0.0006832
34,1436.86,0.68936,0.5216,1.18747,0.58962,0.5717,0.56973,0.27109,2.08598,1.83075,2.79159,0.0006733,0.0006733,0.0006733
