epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,64.0909,2.44573,2.80493,2.87061,0.51362,0.38319,0.39438,0.15029,2.12933,2.41192,2.71382,0.000332581,0.000332581,0.000332581
2,116.168,2.02577,2.24126,2.4764,0.4997,0.3606,0.35698,0.16661,1.99617,2.3686,2.53655,0.000643939,0.000643939,0.000643939
3,167.777,1.91283,2.1886,2.37913,0.47041,0.55685,0.40526,0.16695,1.99104,2.28351,2.39627,0.000933297,0.000933297,0.000933297
4,219.88,1.86096,2.20741,2.3715,0.70364,0.50335,0.61076,0.24716,1.8987,2.11305,2.44264,0.000901,0.000901,0.000901
5,271.809,1.7802,2.10536,2.31494,0.48991,0.61317,0.531,0.20793,1.8922,2.12388,2.37704,0.000868,0.000868,0.000868
6,324.358,1.74464,2.06845,2.29573,0.66498,0.52961,0.58024,0.23362,1.84429,2.07387,2.43052,0.000835,0.000835,0.000835
7,378.333,1.7329,1.9897,2.25622,0.34379,0.61789,0.51629,0.26014,1.78757,1.79929,2.27022,0.000802,0.000802,0.000802
8,430.714,1.70588,1.95996,2.2396,0.67555,0.53655,0.65075,0.2857,1.69618,1.90147,2.20694,0.000769,0.000769,0.000769
9,484.033,1.67595,1.91082,2.22661,0.60271,0.67204,0.63921,0.24039,1.89139,1.84414,2.38193,0.000736,0.000736,0.000736
10,536.09,1.66281,1.90178,2.21744,0.64649,0.6013,0.65171,0.27396,1.85705,1.77875,2.33745,0.000703,0.000703,0.000703
11,588.127,1.64725,1.81954,2.18499,0.56178,0.68908,0.6997,0.34467,1.75607,1.5788,2.19893,0.00067,0.00067,0.00067
12,640.719,1.63464,1.8226,2.1838,0.72728,0.62444,0.65058,0.28813,1.7764,1.69784,2.29544,0.000637,0.000637,0.000637
13,693.747,1.62479,1.79611,2.16795,0.52247,0.76793,0.67977,0.30622,1.70217,1.72278,2.18014,0.000604,0.000604,0.000604
14,746.079,1.59312,1.77813,2.13686,0.5072,0.77897,0.71399,0.36163,1.77749,1.51963,2.26977,0.000571,0.000571,0.000571
15,807.454,1.59138,1.74489,2.13478,0.52685,0.71979,0.67616,0.31567,1.66456,1.64803,2.16107,0.000538,0.000538,0.000538
16,862.091,1.57471,1.7186,2.12692,0.51016,0.66938,0.56137,0.2915,1.73399,1.58199,2.1685,0.000505,0.000505,0.000505
17,914.282,1.55681,1.70006,2.10074,0.65691,0.74539,0.72993,0.40685,1.59112,1.46619,2.0669,0.000472,0.000472,0.000472
18,966.545,1.5466,1.67652,2.09809,0.62499,0.70229,0.72635,0.32223,1.7501,1.50998,2.19567,0.000439,0.000439,0.000439
19,1018.84,1.5548,1.6789,2.09239,0.58847,0.69074,0.73264,0.38144,1.55397,1.55791,2.09182,0.000406,0.000406,0.000406
20,1072.83,1.53846,1.656,2.09996,0.61191,0.71614,0.69595,0.39224,1.61388,1.46859,2.1358,0.000373,0.000373,0.000373
21,1125.13,1.52065,1.58452,2.08385,0.54523,0.7474,0.6692,0.34849,1.66769,1.53246,2.10265,0.00034,0.00034,0.00034
22,1176.63,1.51125,1.55191,2.06281,0.59222,0.65602,0.65954,0.33942,1.62958,1.5059,2.07231,0.000307,0.000307,0.000307
